iter	MultiClass
0	2.272538999
1	2.244005894
2	2.215478767
3	2.187072099
4	2.160313466
5	2.133782403
6	2.10882993
7	2.082958097
8	2.059770901
9	2.037121526
10	2.013415568
11	1.990956115
12	1.969618994
13	1.946511712
14	1.92828148
15	1.908779193
16	1.886560678
17	1.868752213
18	1.850764565
19	1.832546202
20	1.814414687
21	1.795932427
22	1.776198273
23	1.761674107
24	1.745412555
25	1.726973758
26	1.710482354
27	1.695608742
28	1.681772986
29	1.664722562
30	1.647233029
31	1.633914963
32	1.619322167
33	1.603922318
34	1.59128835
35	1.577246261
36	1.564098345
37	1.551785465
38	1.535016563
39	1.520538542
40	1.506747681
41	1.491591868
42	1.479447455
43	1.468298662
44	1.455779401
45	1.445312872
46	1.430523023
47	1.419465431
48	1.407735857
49	1.397579272
50	1.38775037
51	1.375580625
52	1.364294959
53	1.352753067
54	1.343601968
55	1.332947062
56	1.322514574
57	1.311829739
58	1.302976696
59	1.293406335
60	1.284054998
61	1.273662773
62	1.265374798
63	1.258057277
64	1.248345136
65	1.239389592
66	1.226763339
67	1.214622893
68	1.206791484
69	1.199172535
70	1.191692876
71	1.181288468
72	1.17256838
73	1.161336543
74	1.154213371
75	1.145954814
76	1.135411379
77	1.125831585
78	1.119099098
79	1.110792949
80	1.102380747
81	1.093355703
82	1.085208719
83	1.077266126
84	1.069468968
85	1.059658727
86	1.052535601
87	1.045596402
88	1.038478057
89	1.030472453
90	1.023272666
91	1.016375447
92	1.008566663
93	1.001423712
94	0.9932582136
95	0.9870650199
96	0.9803570183
97	0.9718607876
98	0.9655543065
99	0.9600850197
