iter	Passed	Remaining
0	9	904
1	15	738
2	19	642
3	24	598
4	29	556
5	32	514
6	35	473
7	38	442
8	41	416
9	43	393
10	46	378
11	49	362
12	51	347
13	54	336
14	57	324
15	59	313
16	62	306
17	65	297
18	68	291
19	71	286
20	74	281
21	77	275
22	80	269
23	83	263
24	85	257
25	88	252
26	91	247
27	94	242
28	96	237
29	99	233
30	103	230
31	107	227
32	110	224
33	114	222
34	119	221
35	122	217
36	126	214
37	131	215
38	137	214
39	141	212
40	149	215
41	155	214
42	159	210
43	163	208
44	168	205
45	172	202
46	177	199
47	180	195
48	184	191
49	187	187
50	190	183
51	193	178
52	196	174
53	199	169
54	202	165
55	204	161
56	211	159
57	216	156
58	220	153
59	223	149
60	227	145
61	231	141
62	234	137
63	239	134
64	246	132
65	252	129
66	259	127
67	265	124
68	271	121
69	274	117
70	278	113
71	284	110
72	290	107
73	294	103
74	297	99
75	300	95
76	303	90
77	307	86
78	310	82
79	313	78
80	315	74
81	318	70
82	322	65
83	325	61
84	327	57
85	330	53
86	333	49
87	336	45
88	339	41
89	342	38
90	345	34
91	347	30
92	350	26
93	353	22
94	356	18
95	359	14
96	362	11
97	365	7
98	368	3
99	371	0
